Run,GPU,Component,Split,Energy,CO2eq,Time,Distance
7,H100,cand_gen,website,0.19,70.63,00:32:13,0.66
8,H100,cand_gen,domain,0.74,281.82,02:28:45,2.62
8,H100,cand_gen,task,0.34,130.5,01:10:03,1.21
8,H100,cand_gen,website,0.18,69.61,00:30:11,0.65
9,H100,cand_gen,domain,0.81,307.47,03:11:16,2.86
9,H100,cand_gen,task,0.42,159.12,01:42:45,1.48
9,H100,cand_gen,website,0.23,89.23,00:52:28,0.83
10,H100,cand_gen,domain,0.78,297.97,02:55:31,2.77
10,H100,cand_gen,task,0.43,164.08,01:48:04,1.53
10,H100,cand_gen,website,0.2,76.35,00:39:50,0.71
1,H100-PCI,cand_gen,domain,0.85,325.05,05:19:41,3.02
1,H100-PCI,cand_gen,task,0.26,100.83,01:09:38,0.94
1,H100-PCI,cand_gen,website,0.15,57.14,00:35:16,0.53
2,H100-PCI,cand_gen,domain,0.52,199.62,01:59:05,1.86
2,H100-PCI,cand_gen,task,0.27,101.37,01:09:08,0.94
2,H100-PCI,cand_gen,website,0.15,56.52,00:35:12,0.53
3,H100-PCI,cand_gen,domain,0.55,208.89,02:09:49,1.94
3,H100-PCI,cand_gen,task,0.26,98.33,01:05:42,0.91
3,H100-PCI,cand_gen,website,0.15,55.52,00:33:36,0.52
4,H100-PCI,cand_gen,domain,0.54,205.52,02:06:33,1.91
4,H100-PCI,cand_gen,task,0.26,100.36,01:07:28,0.93
4,H100-PCI,cand_gen,website,0.15,56.67,00:34:34,0.53
5,H100-PCI,cand_gen,domain,0.53,200.68,02:00:26,1.87
5,H100-PCI,cand_gen,task,0.27,102.28,01:11:29,0.95
5,H100-PCI,cand_gen,website,0.14,54.66,00:32:26,0.51
6,H100-PCI,cand_gen,domain,0.55,210.16,02:13:18,1.95
6,H100-PCI,cand_gen,task,0.27,102.78,01:10:52,0.96
6,H100-PCI,cand_gen,website,0.15,56.98,00:35:15,0.53
7,H100-PCI,cand_gen,domain,0.54,206.16,02:08:06,1.92
7,H100-PCI,cand_gen,task,0.27,102.54,01:10:07,0.95
7,H100-PCI,cand_gen,website,0.14,54.7,00:32:21,0.51
8,H100-PCI,cand_gen,domain,0.53,201.19,02:00:05,1.87
8,H100-PCI,cand_gen,task,0.27,101.45,01:09:44,0.94
8,H100-PCI,cand_gen,website,0.15,56.55,00:34:31,0.53
9,H100-PCI,cand_gen,domain,0.55,209.08,02:10:15,1.94
9,H100-PCI,cand_gen,task,0.27,104.37,01:12:40,0.97
9,H100-PCI,cand_gen,website,0.15,55.49,00:33:47,0.52
10,H100-PCI,cand_gen,domain,0.54,206.75,02:08:25,1.92
10,H100-PCI,cand_gen,task,0.26,98.61,01:06:38,0.92
10,H100-PCI,cand_gen,website,0.15,56.48,00:34:42,0.53
1,H200,cand_gen,domain,0.73,279.99,02:34:11,2.6
1,H200,cand_gen,task,0.35,133.28,01:12:26,1.24
1,H200,cand_gen,website,0.22,84.03,00:49:26,0.78
2,H200,cand_gen,domain,0.71,269.17,02:12:02,2.5
2,H200,cand_gen,task,0.38,146.05,01:28:52,1.36
2,H200,cand_gen,website,0.23,85.72,00:50:48,0.8
3,H200,cand_gen,domain,0.7,266.4,02:10:49,2.48
3,H200,cand_gen,task,0.38,145.65,01:29:38,1.35
3,H200,cand_gen,website,0.23,89.2,00:57:14,0.83
4,H200,cand_gen,domain,0.7,266.41,02:09:04,2.48
4,H200,cand_gen,task,0.48,183.55,02:18:45,1.71
4,H200,cand_gen,website,0.19,71.1,00:32:13,0.66
5,H200,cand_gen,domain,0.69,262.6,02:04:55,2.44
5,H200,cand_gen,task,0.34,131.12,01:10:33,1.22
5,H200,cand_gen,website,0.22,82.39,00:47:11,0.77
6,H200,cand_gen,domain,0.68,259.25,02:05:09,2.41
6,H200,cand_gen,task,0.34,127.7,01:08:37,1.19
6,H200,cand_gen,website,0.21,80.79,00:44:44,0.75
7,H200,cand_gen,domain,0.71,271.03,02:11:28,2.52
7,H200,cand_gen,task,0.34,129.61,01:10:49,1.21
7,H200,cand_gen,website,0.23,87.87,00:55:39,0.82
8,H200,cand_gen,domain,0.69,261.83,02:08:00,2.44
8,H200,cand_gen,task,0.34,127.82,01:06:39,1.19
8,H200,cand_gen,website,0.19,71.22,00:32:57,0.66
9,H200,cand_gen,domain,0.68,260.06,01:59:46,2.42
9,H200,cand_gen,task,0.35,132.12,01:10:10,1.23
10,H200,cand_gen,domain,0.83,315.77,03:16:14,2.94
10,H200,cand_gen,task,0.34,131.06,01:09:35,1.22
10,H200,cand_gen,website,0.19,71.27,00:32:46,0.66
1,L40S,cand_gen,domain,1.0,379.17,03:18:35,3.53
1,L40S,cand_gen,task,0.46,176.57,01:37:33,1.64
1,L40S,cand_gen,website,0.27,103.41,00:50:57,0.96
2,L40S,cand_gen,domain,0.96,365.91,03:11:25,3.4
2,L40S,cand_gen,task,0.46,176.44,01:40:39,1.64
2,L40S,cand_gen,website,0.27,103.04,00:51:29,0.96
3,L40S,cand_gen,domain,0.96,367.34,03:16:11,3.42
3,L40S,cand_gen,task,0.47,177.98,01:40:32,1.66
3,L40S,cand_gen,website,0.27,104.02,00:52:38,0.97
4,L40S,cand_gen,domain,0.97,368.39,03:19:33,3.43
4,L40S,cand_gen,task,0.47,178.41,01:45:26,1.66
4,L40S,cand_gen,website,0.27,103.16,00:51:17,0.96
5,L40S,cand_gen,domain,1.0,379.59,03:16:47,3.53
5,L40S,cand_gen,task,0.47,180.09,01:43:11,1.68
5,L40S,cand_gen,website,0.27,103.63,00:53:47,0.96
6,L40S,cand_gen,domain,0.99,376.42,03:16:25,3.5
6,L40S,cand_gen,task,0.47,179.77,01:44:49,1.67
6,L40S,cand_gen,website,0.27,102.88,00:52:24,0.96
7,L40S,cand_gen,domain,0.99,377.42,03:13:23,3.51
7,L40S,cand_gen,task,0.47,179.4,01:42:04,1.67
7,L40S,cand_gen,website,0.27,104.25,00:53:23,0.97
8,L40S,cand_gen,domain,1.0,380.24,03:10:15,3.54
8,L40S,cand_gen,task,0.46,173.82,01:42:01,1.62
8,L40S,cand_gen,website,0.27,102.97,00:51:13,0.96
9,L40S,cand_gen,domain,0.97,370.74,03:16:53,3.45
9,L40S,cand_gen,task,0.47,180.59,01:45:32,1.68
